Cell type,Gene ID,Gene name,Gene biotype,FC,FDR,,,,,
L2/3,ENSG00000185352,HS6ST3,protein_coding,2.213710611,0,,,,,
L2/3,ENSG00000185774,KCNIP4,protein_coding,2.119005206,0,,,,,
L2/3,ENSG00000176204,LRRTM4,protein_coding,1.731985174,1.0892E-274,,,,,
L2/3,ENSG00000183662,FAM19A1,protein_coding,2.422971576,1.833E-273,,,,,
L2/3,ENSG00000111249,CUX2,protein_coding,1.819665521,6.2898E-273,,,,,
L2/3,ENSG00000250588,IQCJ-SCHIP1,protein_coding,1.910499671,8.4814E-273,,,,,
L2/3,ENSG00000229618,AC011288.2,lincRNA,2.648090588,5.9734E-256,,,,,
L2/3,ENSG00000048991,R3HDM1,protein_coding,1.190288263,9.9621E-230,,,,,
L2/3,ENSG00000141668,CBLN2,protein_coding,1.949935306,5.2413E-228,,,,,
L2/3,ENSG00000251293,CTC-552D5.1,lincRNA,1.365786339,3.9191E-227,,,,,
L2/3,ENSG00000152578,GRIA4,protein_coding,1.645678462,1.4576E-217,,,,,
L2/3,ENSG00000136267,DGKB,protein_coding,1.530956743,1.2824E-184,,,,,
L2/3,ENSG00000236922,LINC01378,lincRNA,1.479222979,1.4395E-170,,,,,
L2/3,ENSG00000177707,PVRL3,protein_coding,1.514276198,2.0108E-152,,,,,
L2/3,ENSG00000080224,EPHA6,protein_coding,1.844781434,4.0107E-143,,,,,
L2/3,ENSG00000135426,TESPA1,protein_coding,1.063747543,2.5394E-141,,,,,
L2/3,ENSG00000183117,CSMD1,protein_coding,1.057528017,2.0575E-139,,,,,
L2/3,ENSG00000169744,LDB2,protein_coding,1.343337171,4.0018E-136,,,,,
L2/3,ENSG00000154975,CA10,protein_coding,1.507917432,1.4238E-133,,,,,
L2/3,ENSG00000146147,MLIP,protein_coding,1.3777273,4.2299E-131,,,,,
L2/3,ENSG00000171617,ENC1,protein_coding,1.510455797,1.1178E-128,,,,,
L2/3,ENSG00000234423,LINC01250,lincRNA,1.268158429,6.4202E-122,,,,,
L2/3,ENSG00000236886,AC007563.5,antisense,1.013274795,3.4138E-119,,,,,
L2/3,ENSG00000254101,RP11-30J20.1,lincRNA,1.077413707,7.2047E-110,,,,,
L2/3,ENSG00000080298,RFX3,protein_coding,1.122307677,8.2006E-107,,,,,
L2/3,ENSG00000119042,SATB2,protein_coding,1.081515489,4.2182E-106,,,,,
L2/3,ENSG00000164100,NDST3,protein_coding,1.205970421,1.0755E-102,,,,,
L2/3,ENSG00000133019,CHRM3,protein_coding,1.1202448,1.883E-101,,,,,
L2/3,ENSG00000183775,KCTD16,protein_coding,1.071565071,1.046E-100,,,,,
L2/3,ENSG00000184347,SLIT3,protein_coding,1.087947747,4.39745E-98,,,,,
L2/3,ENSG00000182732,RGS6,protein_coding,1.24683949,4.00238E-97,,,,,
L2/3,ENSG00000116106,EPHA4,protein_coding,1.102160995,4.64455E-95,,,,,
L2/3,ENSG00000174482,LINGO2,protein_coding,1.31757254,1.14684E-90,,,,,
L2/3,ENSG00000152894,PTPRK,protein_coding,1.198078259,2.10086E-88,,,,,
L2/3,ENSG00000172995,ARPP21,protein_coding,1.068198611,1.84706E-85,,,,,
L2/3,ENSG00000145526,CDH18,protein_coding,1.035146012,7.2027E-85,,,,,
L2/3,ENSG00000237647,ERICH1-AS1,antisense,1.062466,2.39031E-83,,,,,
L2/3,ENSG00000079819,EPB41L2,protein_coding,1.049245659,2.89801E-80,,,,,
L2/3,ENSG00000154162,CDH12,protein_coding,1.316014287,1.51243E-79,,,,,
L2/3,ENSG00000149571,KIRREL3,protein_coding,1.152777474,4.48181E-78,,,,,
L2/3,ENSG00000198673,FAM19A2,protein_coding,1.211231358,8.52777E-72,,,,,
L2/3,ENSG00000174473,GALNTL6,protein_coding,1.209745636,2.19908E-71,,,,,
L2/3,ENSG00000184672,RALYL,protein_coding,1.010201385,5.05067E-69,,,,,
L2/3,ENSG00000134343,ANO3,protein_coding,1.001633849,2.05698E-62,,,,,
L2/3,ENSG00000140945,CDH13,protein_coding,1.017841928,7.63467E-62,,,,,
L2/3,ENSG00000183098,GPC6,protein_coding,1.13883416,1.34132E-61,,,,,
L2/3,ENSG00000133401,PDZD2,protein_coding,1.003228837,2.46216E-59,,,,,
L4,ENSG00000106536,POU6F2,protein_coding,2.157646505,0,,,,,
L4,ENSG00000128573,FOXP2,protein_coding,2.214110831,0,,,,,
L4,ENSG00000153707,PTPRD,protein_coding,1.524985038,0,,,,,
L4,ENSG00000189108,IL1RAPL2,protein_coding,2.693141321,0,,,,,
L4,ENSG00000198963,RORB,protein_coding,2.439624856,0,,,,,
L4,ENSG00000184672,RALYL,protein_coding,1.870099276,2.3091E-301,,,,,
L4,ENSG00000241956,CTC-340A15.2,antisense,1.915444235,8.2325E-248,,,,,
L4,ENSG00000182463,TSHZ2,protein_coding,2.009008508,3.6931E-243,,,,,
L4,ENSG00000185774,KCNIP4,protein_coding,1.50824725,3.695E-231,,,,,
L4,ENSG00000053108,FSTL4,protein_coding,1.729583092,2.7449E-211,,,,,
L4,ENSG00000196353,CPNE4,protein_coding,1.740863986,5.2153E-200,,,,,
L4,ENSG00000122254,HS3ST2,protein_coding,1.051613668,8.1771E-198,,,,,
L4,ENSG00000253693,CTC-535M15.2,lincRNA,1.25435943,3.5296E-197,,,,,
L4,ENSG00000185760,KCNQ5,protein_coding,1.306825424,2.7834E-189,,,,,
L4,ENSG00000250588,IQCJ-SCHIP1,protein_coding,1.562184896,1.9331E-184,,,,,
L4,ENSG00000198626,RYR2,protein_coding,1.181998112,2.9518E-182,,,,,
L4,ENSG00000067715,SYT1,protein_coding,1.129453152,1.2286E-172,,,,,
L4,ENSG00000081803,CADPS2,protein_coding,1.584258421,2.1439E-170,,,,,
L4,ENSG00000188580,NKAIN2,protein_coding,1.263827293,7.7385E-169,,,,,
L4,ENSG00000184999,SLC22A10,protein_coding,1.229120787,1.6043E-166,,,,,
L4,ENSG00000171509,RXFP1,protein_coding,1.209062823,1.1146E-165,,,,,
L4,ENSG00000131773,KHDRBS3,protein_coding,1.276008242,1.1228E-163,,,,,
L4,ENSG00000157168,NRG1,protein_coding,1.693861906,2.7819E-163,,,,,
